,index,date,close,high,low,open,candle_size
124013,124013,2022-02-09 12:15:00+05:30,17422.95,17425.3,17410.25,17410.95,12.0
124014,124014,2022-02-09 12:20:00+05:30,17423.25,17432.05,17421.2,17423.15,0.09999999999854481
124030,124030,2022-02-09 13:40:00+05:30,17412.35,17419.35,17395.95,17412.5,-0.1500000000014552
124031,124031,2022-02-09 13:45:00+05:30,17418.8,17420.25,17406.6,17407.8,11.0
124032,124032,2022-02-09 13:50:00+05:30,17435.65,17435.75,17414.55,17414.55,21.100000000002183
124033,124033,2022-02-09 13:55:00+05:30,17430.9,17438.4,17414.2,17431.6,-0.6999999999970896
124034,124034,2022-02-09 14:00:00+05:30,17436.45,17438.25,17425.75,17428.3,8.150000000001455
124035,124035,2022-02-09 14:05:00+05:30,17434.3,17447.1,17429.95,17433.3,1.0
124036,124036,2022-02-09 14:10:00+05:30,17442.4,17442.85,17421.8,17429.7,12.700000000000728
124037,124037,2022-02-09 14:15:00+05:30,17453.4,17457.35,17435.2,17438.5,14.900000000001455
124044,124044,2022-02-09 14:50:00+05:30,17446.2,17460.7,17444.7,17452.2,-6.0
124045,124045,2022-02-09 14:55:00+05:30,17460.05,17461.1,17444.5,17444.5,15.549999999999272
124046,124046,2022-02-09 15:00:00+05:30,17457.3,17462.0,17453.15,17457.35,-0.049999999999272404
124047,124047,2022-02-09 15:05:00+05:30,17470.6,17472.8,17449.7,17455.55,15.049999999999272
124048,124048,2022-02-09 15:10:00+05:30,17463.35,17470.3,17452.0,17469.5,-6.150000000001455
